Serial Number,Error Type,Ungrammatical Statement,Standard English
4431,Faulty Comparisons,"The cake is more delicious than the pie, but less than the ice cream.","The cake is more delicious than the pie, but less delicious than the ice cream."
4432,Gerund and Participle Errors,I prefer cook at home instead of eating out.,I prefer cooking at home instead of eating out.
4433,Ambiguity,I should of studied harder.,I should have studied harder.
4434,Modifiers Misplacement,The article was written by a journalist on the front page about political scandals.,The article about political scandals was written by a journalist on the front page.
4435,Pronoun Errors,The gardener watered the plants and took care of there needs.,The gardener watered the plants and took care of their needs.
4436,Sentence Structure Errors,The cake needs more icing; it's not enough.,The cake needs more icing; there isn't enough.
4437,Word Choice/Usage,He was not fazed by the criticism.,He was not fazed by the criticism.
4438,Sentence Structure Errors,The computer is very slow and needs to be fixed.,The computer is very slow and needs to be fixed.
4439,Agreement in Comparative and Superlative Forms,The new employee is most efficient than the previous one.,The new employee is more efficient than the previous one.
4440,Conjunction Misuse,"The vacation is relaxing, but it is also adventurous.",The vacation is relaxing and adventurous.
4441,Ambiguity,She go store buy bread.,She went to the store to buy bread.
4442,Preposition Usage,The store is located in the corner.,The store is located at the corner.
4443,Faulty Comparisons,The beach is more cleaner than the lake.,The beach is cleaner than the lake.
4444,Faulty Comparisons,The journey is more longer by train than by car.,The journey is longer by train than by car.
4445,Preposition Usage,I am looking forward to meet you.,I am looking forward to meeting you.
4446,Sentence Structure Errors,They went to beach and had a great time together.,They went to the beach and had a great time together.
4447,Ellipsis Errors,The project is challenging... making good progress.,"The project is challenging, but we're making good progress."
4448,Subject-Verb Agreement,The cast of the play have been rehearsing for months.,The cast of the play has been rehearsing for months.
4449,Spelling Mistakes,61. The city is known for its historic architecture and buetiful parks.,61. The city is known for its historic architecture and beautiful parks.
4450,Spelling Mistakes,"29. When I was young, I used to played soccer every day.","29. When I was young, I used to play soccer every day."
4451,Infinitive Errors,He asked her to slowly explain the process.,He asked her to explain the process slowly.
4452,Capitalization Errors,i have a meeting on Monday with dr. Smith.,I have a meeting on Monday with Dr. Smith.
4453,Verb Tense Errors,The computer running slow today.,The computer is running slow today.
4454,Redundancy/Repetition,"At 3 PM in the afternoon, I have a meeting.","At 3 PM, I have a meeting."
4455,Punctuation Errors,Theyre dog is very cute.,Their dog is very cute.
4456,Sentence Structure Errors,She running in the park every morning.,She runs in the park every morning.
4457,Article Usage,They are planning a trip to a Europe.,They are planning a trip to Europe.
4458,Spelling Mistakes,35. She is a expert in her field and has written many articles.,35. She is an expert in her field and has written many articles.
4459,Relative Clause Errors,The town I grew up is small and quiet.,The town where I grew up is small and quiet.
4460,Ellipsis Errors,She was so tired... couldn't keep her eyes open.,She was so tired that she couldn't keep her eyes open.
4461,Contractions Errors,"The software has a bug, it's performance is slow.","The software has a bug, its performance is slow."
4462,Spelling Mistakes,7. She prefered to eat apple instead of orange.,7. She preferred to eat an apple instead of an orange.
4463,Clichés,He's dime a dozen.,He's a dime a dozen.
4464,Subject-Verb Agreement,The set of dishes in the cupboard is antique.,The set of dishes in the cupboard are antique.
4465,Subject-Verb Agreement,The group of protestors was chanting loudly.,The group of protestors were chanting loudly.
4466,Relative Clause Errors,The bike which I ride to work is green.,The bike that I ride to work is green.
4467,Incorrect Auxiliaries,They was planning to go on a trip.,They were planning to go on a trip.
4468,Preposition Usage,She was hiding behind the door.,She was hiding in back of the door.
4469,Spelling Mistakes,42. The baby was crying beacuse it was hungry.,42. The baby was crying because it was hungry.
4470,Run-on Sentences,They are friends they met in college.,They are friends who met in college.
4471,Faulty Comparisons,"The city is more crowded than the countryside, but less than the beach.","The city is more crowded than the countryside, but less crowded than the beach."
4472,Verb Tense Errors,The store close at 9 PM tonight.,The store closes at 9 PM tonight.
4473,Gerund and Participle Errors,The soccer player was injure during the game.,The soccer player was injured during the game.
4474,Spelling Mistakes,81. The ice cream was melting quickly in the hot summer sun.,81. The ice cream was melting quickly in the hot summer sun.
4475,Mixed Metaphors/Idioms,"16. She's walking on thin ice, but Rome wasn't built in a day.",16. She's walking on thin ice.
4476,Incorrect Auxiliaries,The children do their chores every day.,The children do their chores every day.
4477,Subject-Verb Agreement,The group of animals in the zoo attracts a lot of visitors.,The group of animals in the zoo attract a lot of visitors.
4478,Lack of Parallelism in Lists or Series,"The exhibition showcases contemporary art, photography, and to feature performances.","The exhibition showcases contemporary art, photography, and features performances."
4479,Quantifier Errors,Some of countries have strict visa requirements.,Some countries have strict visa requirements.
4480,Preposition Usage,They were surprised with the news.,They were surprised by the news.
4481,Pronoun Errors,The plants need water for they're survival.,The plants need water for their survival.
4482,Mixed Conditionals,"If I knew his address, I will send him a letter.","If I knew his address, I would send him a letter."
4483,Contractions Errors,"The plant needs water, it's leaves are wilting.","The plant needs water, its leaves are wilting."
4484,Ellipsis Errors,He's a great actor... not in many movies.,"He's a great actor, but he's not in many movies."
4485,Agreement in Comparative and Superlative Forms,He is the most oldest person in the family.,He is the oldest person in the family.
4486,Gerund and Participle Errors,The flowers in the garden were wilt due to the heat.,The flowers in the garden were wilting due to the heat.
4487,Inappropriate Register,Please refrain from using slang and abbrevs in your writing.,Please refrain from using slang and abbreviations in your writing.
4488,Article Usage,"Can you turn off a television, please?","Can you turn off the television, please?"
4489,Clichés,They have axe grind.,They have an axe to grind.
4490,Abbreviation Errors,The new OS update includes many UX/UI impr.,The new operating system update includes many user experience/user interface improvements.
4491,Gerund and Participle Errors,I am look forward to meet you in person.,I am looking forward to meeting you in person.
4492,Spelling Mistakes,75. He was walking in the forest when he heard a strange noice.,75. He was walking in the forest when he heard a strange noise.
4493,Sentence Fragments,She late for meeting.,She was late for the meeting.
4494,Article Usage,The team is celebrating their victory in a competition.,The team is celebrating their victory in the competition.
4495,Word Choice/Usage,He was very weary after the long journey.,He was very weary after the long journey.
4496,Article Usage,The player scored a goal during a soccer match.,The player scored a goal during the soccer match.
4497,Clichés,He's at end of his rope.,He's at the end of his rope.
4498,Incorrect Auxiliaries,The cake needs to be baking for 30 minutes.,The cake needs to be baked for 30 minutes.
4499,Mixed Conditionals,"If she will be more organized, she could have finished the project.","If she were more organized, she could finish the project."
4500,Preposition Usage,The movie starts in 7 PM.,The movie starts at 7 PM.
4501,Incorrect Auxiliaries,How you is doing today?,How are you doing today?
4502,Sentence Structure Errors,The recipe calls for two cups of sugar and a eggs.,The recipe calls for two cups of sugar and an egg.
4503,Verb Tense Errors,The train was delay due to bad weather.,The train was delayed due to bad weather.
4504,"Slang, Jargon, and Colloquialisms",24. I dunno if I can make it to the party tonight.,24. I don't know if I can make it to the party tonight.
4505,Run-on Sentences,The restaurant was crowded we had to wait for a table.,"The restaurant was crowded, and we had to wait for a table."
4506,Mixed Metaphors/Idioms,"29. You can't have your cake and eat it too, but too many cooks spoil the broth.",29. You can't have your cake and eat it too.
4507,Faulty Comparisons,The journey is more longer by train than by car.,The journey is longer by train than by car.
4508,Subject-Verb Agreement,The collection of short stories have a common theme.,The collection of short stories has a common theme.
4509,Inappropriate Register,The scientific community is workin' on finding a cure for the disease.,The scientific community is working on finding a cure for the disease.
4510,Faulty Comparisons,The student is more smarter than the teacher.,The student is smarter than the teacher.
4511,Run-on Sentences,He's a talented musician he plays multiple instruments.,"He's a talented musician, as he plays multiple instruments."
4512,Infinitive Errors,She aspires to professionally become a dancer.,She aspires to become a professional dancer.
4513,Relative Clause Errors,The cafe I had breakfast was cozy.,The cafe where I had breakfast was cozy.
4514,Clichés,They're throwing baby bathwater.,They're throwing the baby out with the bathwater.
4515,Punctuation Errors,"The new restaurant opened today, the food was delicious.",The new restaurant opened today; the food was delicious.
4516,Word Choice/Usage,I want to loose some weight before the event.,I want to lose some weight before the event.
4517,Conjunction Misuse,"The room is messy, but it is still organized.",The room is messy yet organized.
4518,Verb Tense Errors,I have been study for the test for two weeks.,I have been studying for the test for two weeks.
4519,Ambiguity,He fastly ran the race.,He ran the race quickly.
4520,Mixed Metaphors/Idioms,"43. An ounce of prevention is worth a pound of cure, but actions speak louder than words.",43. An ounce of prevention is worth a pound of cure.
4521,Quantifier Errors,Some of the people on this team are experienced professionals.,Some people on this team are experienced professionals.
4522,Parallelism Errors,"The artist uses paint, charcoal, and they create collages.","The artist uses paint, charcoal, and creates collages."
4523,Spelling Mistakes,57. The car accident happend at the intersection of two roads.,57. The car accident happened at the intersection of two roads.
4524,Sentence Structure Errors,He won't able came to the party tonight.,He won't be able to come to the party tonight.
4525,Passive Voice Overuse,The movie was enjoyed by everyone in the theater.,Everyone in the theater enjoyed the movie.
4526,Mixed Metaphors/Idioms,"27. Out of sight, out of mind, but it's the thought that counts.","27. Out of sight, out of mind."
4527,Punctuation Errors,He likes pizza pasta and burgers.,"He likes pizza, pasta, and burgers."
4528,Relative Clause Errors,The car I sold it last year was my favorite.,The car that I sold last year was my favorite.
4529,Preposition Usage,She is an expert at cooking Italian dishes.,She is an expert in cooking Italian dishes.
4530,Contractions Errors,It's color is fading after multiple washes.,Its color is fading after multiple washes.
4531,Lack of Parallelism in Lists or Series,"She enjoys swimming, to dance, and reading books.","She enjoys swimming, dancing, and reading books."
4532,Word Choice/Usage,She gave a complimentary to her colleague.,She gave a compliment to her colleague.
4533,Preposition Usage,They're going for a walk along the river.,They're going for a walk beside the river.
4534,Punctuation Errors,He was late for the meeting because of the traffic.,He was late for the meeting because of the traffic.
4535,Mixed Conditionals,"If it's sunny outside, we would go to the beach.","If it's sunny outside, we will go to the beach."
4536,Relative Clause Errors,The shoes she bought them last month are already worn out.,The shoes that she bought last month are already worn out.
4537,Preposition Usage,The painting is hanging on the wall.,The painting is hanging upon the wall.
4538,Article Usage,The car is parked in a garage.,The car is parked in the garage.
4539,Contractions Errors,"The library is quiet, it's atmosphere is perfect for studying.","The library is quiet, its atmosphere is perfect for studying."
4540,Ambiguity,The girl draw a picture.,The girl drew a picture.
4541,Ellipsis Errors,I went to the store... bought milk.,I went to the store and bought milk.
4542,Sentence Fragments,"The train, arriving, passengers boarding.","The train was arriving, and passengers were boarding."
4543,Spelling Mistakes,55. The book shelf was full of old dusty books.,55. The bookshelf was full of old dusty books.
4544,Negation Errors,He can't drink no alcohol tonight.,He can't drink any alcohol tonight.
4545,Mixed Metaphors/Idioms,"18. Actions speak louder than words, but don't put the cart before the horse.",18. Actions speak louder than words.
4546,Contractions Errors,"The store's sale is popular, they're discounts are great.","The store's sale is popular, their discounts are great."
4547,Redundancy/Repetition,I went to the store store.,I went to the store.
4548,Ellipsis Errors,The meeting went well... discussed important topics.,The meeting went well because we discussed important topics.
4549,Gerund and Participle Errors,The book's success was due to the author's unique write style.,The book's success was due to the author's unique writing style.
4550,Subject-Verb Agreement,The crowd of spectators cheers for their favorite team.,The crowd of spectators cheer for their favorite team.
4551,Modifiers Misplacement,The tree was cut down by the workers blocking the road.,The tree blocking the road was cut down by the workers.
4552,Ellipsis Errors,Can't believe... leaving so soon.,I can't believe you're leaving so soon.
4553,Sentence Structure Errors,He no likes pineapple on his pizza.,He doesn't like pineapple on his pizza.
4554,Abbreviation Errors,"The pkg was del'd by USPS, not UPS.","The package was delivered by United States Postal Service, not United Parcel Service."
4555,Sentence Fragments,"Eating an apple, hungry.",I was eating an apple because I was hungry.
4556,Incorrect Auxiliaries,I does not know how to solve this problem.,I do not know how to solve this problem.
4557,Clichés,She's apple of her father's eye.,She's the apple of her father's eye.
4558,Passive Voice Overuse,The clothes were washed by Mary in the laundry room.,Mary washed the clothes in the laundry room.
4559,Ambiguity,She's been to Paris last year.,She went to Paris last year.
4560,Subject-Verb Agreement,The faculty in the department is diverse and experienced.,The faculty in the department are diverse and experienced.
4561,Ellipsis Errors,She loves to travel... visited over 20 countries.,She loves to travel and has visited over 20 countries.
4562,Ellipsis Errors,He's a doctor... also a talented musician.,He's a doctor and also a talented musician.
4563,Verb Tense Errors,I goes to the store everyday.,I go to the store everyday.
4564,Quantifier Errors,Few of the ingredients in this dish are spicy.,Few ingredients in this dish are spicy.
4565,"Slang, Jargon, and Colloquialisms",23. The company's CEO is a real hardass.,23. The company's CEO is very strict.
4566,Verb Tense Errors,The chef cook dinner for the guests.,The chef cooks dinner for the guests.
4567,Ambiguity,He plays guitar good.,He plays the guitar well.
4568,Spelling Mistakes,86. The teacher asked the students to be quite during the test.,86. The teacher asked the students to be quiet during the test.
4569,Sentence Structure Errors,She has a beautiful singing voice and sings often.,She has a beautiful singing voice and sings often.
4570,Pronoun Errors,The birds fly to the south for it's warmer.,The birds fly to the south because it's warmer.
4571,Parallelism Errors,"The restaurant offers delicious food, cheap prices, and it's very cozy.","The restaurant offers delicious food, cheap prices, and a cozy atmosphere."
4572,Inappropriate Register,"The research paper needs some more work, I reckon.",I believe the research paper requires further work.
4573,Sentence Structure Errors,She putted the flowers in a vase on the table.,She put the flowers in a vase on the table.
4574,Tautology,The small little puppy was playing in the yard.,The small puppy was playing in the yard.
4575,Gerund and Participle Errors,The company's success was due to its invest in new technologies.,The company's success was due to its investment in new technologies.
4576,Ambiguity,She go store buy bread.,She went to the store to buy bread.
4577,Punctuation Errors,He likes pizza pasta and burgers.,"He likes pizza, pasta, and burgers."
4578,Subject-Verb Agreement,The results of the experiments was inconclusive.,The results of the experiments were inconclusive.
4579,Conjunction Misuse,"I will go to the store, but I will buy groceries.",I will go to the store and buy groceries.
4580,Tautology,The teacher was very patient and understanding with the students.,The teacher was very patient with the students.
4581,Incorrect Auxiliaries,It are important to wash your hands regularly.,It is important to wash your hands regularly.
4582,Spelling Mistakes,22. Please put the dirty dishes into the washing mashine.,22. Please put the dirty dishes into the washing machine.
4583,Parallelism Errors,"The meeting agenda includes introductions, updates, and to discuss future plans.","The meeting agenda includes introductions, updates, and future plan discussions."
4584,Mixed Metaphors/Idioms,"21. You can lead a horse to water, but you can't make it drink with a silver spoon.","21. You can lead a horse to water, but you can't make it drink."
4585,Subject-Verb Agreement,The cast of the play have been rehearsing for months.,The cast of the play has been rehearsing for months.
4586,Ambiguity,He doesn't wants to eat.,He doesn't want to eat.
4587,Clichés,Actions louder than words.,Actions speak louder than words.
4588,Conjunction Misuse,"The plants need water, but they also need sunlight.",The plants need water and sunlight.
4589,Sentence Structure Errors,The cat chased the mouse but it couldn't catched it.,The cat chased the mouse but couldn't catch it.
4590,Word Choice/Usage,She had a flair for writing poetry.,She had a flair for writing poetry.
4591,Clichés,They're throwing baby bathwater.,They're throwing the baby out with the bathwater.
4592,Clichés,They're reading between lines.,They're reading between the lines.
4593,Infinitive Errors,She aspires to professionally become a dancer.,She aspires to become a professional dancer.
4594,Mixed Metaphors/Idioms,"12. The ball is in your court, but every cloud has a silver lining.",12. The ball is in your court.
4595,Clichés,He's burning candle both ends.,He's burning the candle at both ends.
4596,Lack of Parallelism in Lists or Series,"The program aims to promote healthy eating, regular exercise, and to reduce stress.","The program aims to promote healthy eating, regular exercise, and stress reduction."
4597,Ambiguity,I should of studied harder.,I should have studied harder.
4598,Conjunction Misuse,"I enjoy reading, and I enjoy writing too.",I enjoy reading and writing too.
4599,Clichés,"It's six one, half dozen other.","It's six of one, half a dozen of the other."
4600,Punctuation Errors,"We went to the beach, it was a beautiful day!",We went to the beach; it was a beautiful day!
4601,Sentence Structure Errors,We played soccer and basketball at the park yesterday.,We played soccer and basketball at the park yesterday.
4602,Spelling Mistakes,96. The store clerk was counting the money in the cash register.,96. The store clerk was counting the money in the cash register.
4603,Sentence Structure Errors,The weather is very hot today; I need a cold drink.,The weather is very hot today; I need a cold drink.
4604,Clichés,She's apple of her father's eye.,She's the apple of her father's eye.
4605,Contractions Errors,It's not easy to decide which's the best option.,It's not easy to decide which is the best option.
4606,Sentence Structure Errors,The laptops on the desk are belong to him.,The laptops on the desk belong to him.
4607,Passive Voice Overuse,The sculpture was created by the artist using clay and metal.,The artist created the sculpture using clay and metal.
4608,Agreement in Comparative and Superlative Forms,This is the most farthest I've ever traveled.,This is the farthest I've ever traveled.
4609,Parallelism Errors,"The report covers climate change, pollution, and how to preserve natural resources.","The report covers climate change, pollution, and natural resource preservation."
4610,Abbreviation Errors,The co is implementing new CSR policies.,The company is implementing new corporate social responsibility policies.
4611,Preposition Usage,I am looking forward to meet you.,I am looking forward to meeting you.
4612,Mixed Conditionals,"If you will read the instructions, you would know what to do.","If you read the instructions, you would know what to do."
4613,Contractions Errors,"I can't find my wallet, it's owner must be worried.","I can't find my wallet, its owner must be worried."
4614,Punctuation Errors,"I'll bring snacks, you can bring drinks, to the party.",I'll bring snacks; you can bring drinks to the party.
4615,Verb Tense Errors,The manager gives a speech at the meeting.,The manager gave a speech at the meeting.
4616,Gerund and Participle Errors,The book's success was due to the author's unique write style.,The book's success was due to the author's unique writing style.
4617,Contractions Errors,"The phone's battery is low, it's screen is dim.","The phone's battery is low, its screen is dim."
4618,Pronoun Errors,The mother told her children that they can play outside once they've finished them homework.,The mother told her children that they can play outside once they've finished their homework.
4619,Relative Clause Errors,I met a woman has three dogs.,I met a woman who has three dogs.
4620,Subject-Verb Agreement,The pile of clothes need to be washed.,The pile of clothes needs to be washed.
4621,Article Usage,She bought the ice cream for her daughter.,She bought ice cream for her daughter.
4622,Sentence Structure Errors,The teacher gave the students they homework.,The teacher gave the students their homework.
4623,Relative Clause Errors,The town I grew up is small and quiet.,The town where I grew up is small and quiet.
4624,Relative Clause Errors,The park I walk my dog is just down the street.,The park where I walk my dog is just down the street.
4625,Lack of Parallelism in Lists or Series,"The device is designed to save energy, reduce waste, and to be user-friendly.","The device is designed to save energy, reduce waste, and be user-friendly."
4626,Inappropriate Register,What's the main purpose of this sophisticated machine?,What is the primary purpose of this sophisticated machine?
4627,Passive Voice Overuse,The flowers were arranged by the florist for the wedding.,The florist arranged the flowers for the wedding.
4628,Article Usage,Did you finish an work you had to do?,Did you finish the work you had to do?
4629,Spelling Mistakes,65. The cake was decorated with icing flowers and colorful sprikles.,65. The cake was decorated with icing flowers and colorful sprinkles.
4630,Parallelism Errors,"They plan to renovate the kitchen, paint the walls, and the carpet should be replaced.","They plan to renovate the kitchen, paint the walls, and replace the carpet."
4631,Word Choice/Usage,I have a soar throat and a headache.,I have a sore throat and a headache.
4632,Mixed Conditionals,"If he will not be so stubborn, we could have reached a compromise.","If he were not so stubborn, we could have reached a compromise."
4633,Ellipsis Errors,Can't believe... leaving so soon.,I can't believe you're leaving so soon.
4634,Negation Errors,They didn't pack no extra clothes.,They didn't pack any extra clothes.
4635,Run-on Sentences,I love music I listen to it all the time.,"I love music, and I listen to it all the time."
4636,Agreement in Comparative and Superlative Forms,This is the most farthest I've ever traveled.,This is the farthest I've ever traveled.
4637,Sentence Structure Errors,"The cat chased after the bird, but it got away.","The cat chased after the bird, but it got away."
4638,Capitalization Errors,i'm reading harry potter and the philosopher's stone.,I'm reading Harry Potter and the Philosopher's Stone.
4639,Punctuation Errors,If the weather's nice we'll go to the park.,"If the weather's nice, we'll go to the park."
4640,Negation Errors,He hasn't read not a single book.,He hasn't read a single book.
4641,"Slang, Jargon, and Colloquialisms","8. The CPU's got 16 cores, which ain't bad.","8. The CPU has 16 cores, which isn't bad."
4642,Clichés,He's devil's advocate.,He's playing devil's advocate.
4643,Preposition Usage,The bird was sitting on the tree.,The bird was sitting in the tree.
4644,Gerund and Participle Errors,The teacher was impressed by the student's improve in math.,The teacher was impressed by the student's improvement in math.
4645,Ambiguity,The dog chases it's tail.,The dog chases its tail.
4646,Article Usage,The team is working together to solve a problem.,The team is working together to solve the problem.
4647,Article Usage,She is wearing a beautiful dress to a party.,She is wearing a beautiful dress to the party.
4648,Agreement in Comparative and Superlative Forms,This is the most happiest day of my life.,This is the happiest day of my life.
4649,Gerund and Participle Errors,The doctor advised the patient to quit smoke.,The doctor advised the patient to quit smoking.
4650,Article Usage,The musician is playing a piano in a concert hall.,The musician is playing the piano in a concert hall.
4651,Sentence Structure Errors,She have a lot of work to do this weekend.,She has a lot of work to do this weekend.
4652,Article Usage,She is learning a new language at a school.,She is learning a new language at the school.
4653,Relative Clause Errors,The park people play soccer is near my house.,The park where people play soccer is near my house.
4654,Ambiguity,The car needs washed.,The car needs to be washed.
4655,Relative Clause Errors,"My brother, works at the bank, is visiting tomorrow.","My brother, who works at the bank, is visiting tomorrow."
4656,Lack of Parallelism in Lists or Series,"The store offers a wide range of products, competitive prices, and to provide excellent customer service.","The store offers a wide range of products, competitive prices, and provides excellent customer service."
4657,Conjunction Misuse,"She can sing, and she can dance.",She can sing and dance.
4658,Mixed Conditionals,"If he studied harder, he will pass the exam.","If he studied harder, he would pass the exam."
4659,Tautology,I am absolutely certain and sure about my decision.,I am absolutely certain about my decision.
4660,Spelling Mistakes,76. The package was delivered to the wrong adress by mistake.,76. The package was delivered to the wrong address by mistake.
4661,Verb Tense Errors,I have been study for the test for two weeks.,I have been studying for the test for two weeks.
4662,Parallelism Errors,"The exhibition showcases paintings, sculptures, and it presents photography.","The exhibition showcases paintings, sculptures, and photography."
4663,Article Usage,The students are learning a chemistry in class.,The students are learning chemistry in class.
4664,Passive Voice Overuse,The research was conducted by the scientists in the lab.,The scientists conducted the research in the lab.
4665,Inappropriate Register,The new software update's gonna fix the bugs and improve performance.,The new software update will fix the bugs and improve performance.
4666,Faulty Comparisons,It's more colder in Canada than it is in California.,It's colder in Canada than it is in California.
4667,Negation Errors,They haven't never been to Italy.,They have never been to Italy.
4668,Inappropriate Register,"The new restaurant offers a wide variety of dishes, and the ambiance is pretty chill.","The new restaurant offers a wide variety of dishes, and the ambiance is quite relaxed."
4669,Relative Clause Errors,The cake I ate it for dessert was delicious.,The cake I ate for dessert was delicious.
4670,Article Usage,The weather forecast predicts a rain for a tomorrow.,The weather forecast predicts rain for tomorrow.
4671,Faulty Comparisons,The soup is more saltier than the salad.,The soup is saltier than the salad.
4672,Parallelism Errors,"The job requires research skills, good communication, and working independently.","The job requires research skills, good communication, and independent work."
4673,Clichés,He's burning candle both ends.,He's burning the candle at both ends.
4674,Sentence Structure Errors,We played soccer and basketball at the park yesterday.,We played soccer and basketball at the park yesterday.
4675,Punctuation Errors,How are you doing today?,How are you doing today?
4676,Faulty Comparisons,The new manager is less stricter than the old one.,The new manager is less strict than the old one.
4677,Preposition Usage,I have to pay my bills until Friday.,I have to pay my bills by Friday.
4678,Verb Tense Errors,The team were working on the project.,The team was working on the project.
4679,Lack of Parallelism in Lists or Series,"She was tired, hungry, and feeling cold.","She was tired, hungry, and cold."
4680,"Slang, Jargon, and Colloquialisms",37. He's got a lot of irons in the fire right now.,37. He's currently involved in many projects.
4681,Modifiers Misplacement,The cake was baked by the chef with a cherry on top.,The cake with a cherry on top was baked by the chef.
4682,Quantifier Errors,Few of the products in this store are made from sustainable materials.,Few products in this store are made from sustainable materials.
4683,Mixed Conditionals,"If you had told me, I am going to help you.","If you had told me, I would have helped you."
4684,Infinitive Errors,The gardener decided to systematically water the plants.,The gardener decided to water the plants systematically.
4685,Relative Clause Errors,People live in the city are usually busy.,People who live in the city are usually busy.
4686,Incorrect Auxiliaries,I am not can swim in the pool.,I cannot swim in the pool.
4687,Subject-Verb Agreement,The variety of courses offered by the university is diverse.,The variety of courses offered by the university are diverse.
4688,Quantifier Errors,Few of the students passed the exam.,Few students passed the exam.
4689,Quantifier Errors,Few of the birds in this area are migratory.,Few birds in this area are migratory.
4690,Mixed Metaphors/Idioms,"9. It's not rocket science, but you can't make an omelette without breaking eggs.",9. It's not rocket science.
4691,Modifiers Misplacement,The tree was cut down by the workers blocking the road.,The tree blocking the road was cut down by the workers.
4692,Agreement in Comparative and Superlative Forms,She is most beautiful than her sister.,She is more beautiful than her sister.
4693,Verb Tense Errors,The airplane fly over the city.,The airplane flies over the city.
4694,Preposition Usage,I found the wallet under the sofa.,I found the wallet beneath the sofa.
4695,Agreement in Comparative and Superlative Forms,The exam was most easier than I thought.,The exam was easier than I thought.
4696,Spelling Mistakes,62. The recipe calls for two cups of flower and one cup of sugar.,62. The recipe calls for two cups of flour and one cup of sugar.
4697,Capitalization Errors,the great wall of china is an iconic landmark in china.,The Great Wall of China is an iconic landmark in China.
4698,Relative Clause Errors,The team I support it is from my hometown.,The team that I support is from my hometown.
4699,Parallelism Errors,"They plan to renovate the kitchen, paint the walls, and the carpet should be replaced.","They plan to renovate the kitchen, paint the walls, and replace the carpet."
4700,"Slang, Jargon, and Colloquialisms",15. She's the kinda person who's always late.,15. She's the type of person who's always late.
4701,Mixed Conditionals,"If she will be more organized, she could have finished the project.","If she were more organized, she could finish the project."
4702,Gerund and Participle Errors,The company's success was due to its invest in new technologies.,The company's success was due to its investment in new technologies.
4703,Gerund and Participle Errors,The artist is known for his innovate use of color.,The artist is known for his innovative use of color.
4704,Capitalization Errors,she is a doctor and he is a lawyer.,She is a doctor and he is a lawyer.
4705,Inappropriate Register,"The goal of the project is to create an intuitive and user-friendly interface, ya know.",The goal of the project is to create an intuitive and user-friendly interface.
4706,Sentence Structure Errors,He wants to travelling to Europe next summer.,He wants to travel to Europe next summer.
4707,Clichés,We need think outside box.,We need to think outside the box.
4708,Passive Voice Overuse,The bicycle was fixed by the mechanic at the shop.,The mechanic fixed the bicycle at the shop.
4709,Verb Tense Errors,The students studies for the exam.,The students study for the exam.
4710,Quantifier Errors,Few of the questions on this quiz are difficult.,Few questions on this quiz are difficult.
4711,Sentence Structure Errors,I'm going to the store for buying some groceries.,I'm going to the store to buy some groceries.
4712,Ellipsis Errors,The concert was amazing... loved every minute of it.,"The concert was amazing, and I loved every minute of it."
4713,Redundancy/Repetition,The little small puppy was so cute.,The little puppy was so cute.
4714,Quantifier Errors,All of the flowers in this garden are perennials.,All the flowers in this garden are perennials.
4715,Spelling Mistakes,61. The city is known for its historic architecture and buetiful parks.,61. The city is known for its historic architecture and beautiful parks.
4716,Parallelism Errors,"The training focuses on safety, proper technique, and you should build strength gradually.","The training focuses on safety, proper technique, and gradual strength building."
4717,Contractions Errors,"The sun's rays are strong, they're making the day hot.","The sun's rays are strong, they're making the day hot."
4718,Clichés,He's dime a dozen.,He's a dime a dozen.
4719,Tautology,I need to repeat again what I said earlier.,I need to repeat what I said earlier.
4720,Faulty Comparisons,"Her dress is more elegant than my dress, but less than yours.","Her dress is more elegant than my dress, but less elegant than yours."
4721,Passive Voice Overuse,The dishes were washed by Peter after dinner.,Peter washed the dishes after dinner.
4722,Lack of Parallelism in Lists or Series,"The organization aims to support local businesses, create jobs, and to stimulate economic growth.","The organization aims to support local businesses, create jobs, and stimulate economic growth."
4723,Faulty Comparisons,The meeting was less longer than I anticipated.,The meeting was shorter than I anticipated.
4724,Faulty Comparisons,The exam was less harder than I thought.,The exam was easier than I thought.
4725,Conjunction Misuse,"The presentation is informative, and it is engaging.",The presentation is informative and engaging.
4726,Incorrect Auxiliaries,The movie am starting in five minutes.,The movie is starting in five minutes.
4727,Incorrect Auxiliaries,He have a collection of rare coins.,He has a collection of rare coins.
4728,Subject-Verb Agreement,The shelves was filled with books.,The shelves were filled with books.
4729,Preposition Usage,He is waiting for her on the restaurant.,He is waiting for her at the restaurant.
4730,Sentence Fragments,"The train, arriving, passengers boarding.","The train was arriving, and passengers were boarding."
4731,Mixed Metaphors/Idioms,"43. An ounce of prevention is worth a pound of cure, but actions speak louder than words.",43. An ounce of prevention is worth a pound of cure.
4732,Relative Clause Errors,The artist paintings are in the gallery is very talented.,The artist whose paintings are in the gallery is very talented.
4733,Spelling Mistakes,"78. The car's breaks failed, causing it to crash into a tree.","78. The car's brakes failed, causing it to crash into a tree."
4734,Preposition Usage,He was leaning against the wall.,He was leaning on the wall.
4735,Mixed Conditionals,"If she will be more patient, she could have taught the class.","If she were more patient, she could teach the class."
4736,Passive Voice Overuse,The garden was tended by the gardener throughout the summer.,The gardener tended the garden throughout the summer.
4737,Clichés,He's taking bull horns.,He's taking the bull by the horns.
4738,"Slang, Jargon, and Colloquialisms",31. They didn't do jack to help with the project.,31. They didn't do anything to help with the project.
